assumed_floor_fraction,below_minimum_effect_fraction,contrast_sd,correct_decisive_fraction,correlation,decision_method,effect_present_fraction,error_model,indeterminate_fraction,threshold_or_confidence,true_delta,truth_state,wrong_decisive_fraction
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.75,4.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.0,4.0,effect_present,0.0
1.0,0.0,,0.99726,,legacy_ratio,0.99726,independent_bounded,0.00274,3.25,4.0,effect_present,0.0
1.0,0.0,,0.957775,,legacy_ratio,0.957775,independent_bounded,0.042225,3.5,4.0,effect_present,0.0
1.0,0.0,,0.798725,,legacy_ratio,0.798725,independent_bounded,0.201275,3.75,4.0,effect_present,0.0
1.0,0.0,,0.50019,,legacy_ratio,0.50019,independent_bounded,0.49981,4.0,4.0,effect_present,0.0
1.0,0.0,,0.201645,,legacy_ratio,0.201645,independent_bounded,0.798355,4.25,4.0,effect_present,0.0
1.0,0.0,,0.041395,,legacy_ratio,0.041395,independent_bounded,0.958605,4.5,4.0,effect_present,0.0
1.0,0.0,,0.00251,,legacy_ratio,0.00251,independent_bounded,0.99749,4.75,4.0,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,4.0,effect_present,0.0
1.0,0.0,,0.50019,,deterministic_interval,0.50019,independent_bounded,0.49981,,4.0,effect_present,0.0
0.9,0.0,,0.631175,,deterministic_interval,0.631175,independent_bounded,0.368825,,4.0,effect_present,0.0
0.75,0.0,,0.798725,,deterministic_interval,0.798725,independent_bounded,0.201275,,4.0,effect_present,0.0
0.5,0.0,,0.957775,,deterministic_interval,0.957775,independent_bounded,0.042225,,4.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.5,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.75,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.0,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.25,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.5,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.75,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.0,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.25,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.5,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.75,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,4.0,5.0,effect_present,0.0
1.0,0.0,,0.99726,,legacy_ratio,0.99726,independent_bounded,0.00274,4.25,5.0,effect_present,0.0
1.0,0.0,,0.957775,,legacy_ratio,0.957775,independent_bounded,0.042225,4.5,5.0,effect_present,0.0
1.0,0.0,,0.798725,,legacy_ratio,0.798725,independent_bounded,0.201275,4.75,5.0,effect_present,0.0
1.0,0.0,,0.50019,,legacy_ratio,0.50019,independent_bounded,0.49981,5.0,5.0,effect_present,0.0
1.0,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,5.0,effect_present,0.0
0.9,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,5.0,effect_present,0.0
0.75,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,5.0,effect_present,0.0
0.5,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,5.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.5,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.75,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.0,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.25,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.5,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.75,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.0,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.25,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.5,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,3.75,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,4.0,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,4.25,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,4.5,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,4.75,6.0,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,5.0,6.0,effect_present,0.0
1.0,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,6.0,effect_present,0.0
0.9,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,6.0,effect_present,0.0
0.75,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,6.0,effect_present,0.0
0.5,0.0,,1.0,,deterministic_interval,1.0,independent_bounded,0.0,,6.0,effect_present,0.0
1.0,0.999395,0.5590169943749475,0.999395,-0.25,central_normal_interval,0.0,correlated_normal,0.000605,0.95,0.0,below_minimum_effect,0.0
1.0,0.947645,0.5590169943749475,0.947645,-0.25,central_normal_interval,0.0,correlated_normal,0.052355,0.95,1.0,below_minimum_effect,0.0
1.0,0.430795,0.5590169943749475,0.430795,-0.25,central_normal_interval,8.5e-05,correlated_normal,0.56912,0.95,2.0,below_minimum_effect,8.5e-05
1.0,0.143725,0.5590169943749475,0.143725,-0.25,central_normal_interval,0.00209,correlated_normal,0.854185,0.95,2.5,below_minimum_effect,0.00209
1.0,0.03741,0.5590169943749475,0.03741,-0.25,central_normal_interval,0.016225,correlated_normal,0.946365,0.95,2.9,below_minimum_effect,0.016225
1.0,0.024995,0.5590169943749475,0.0,-0.25,central_normal_interval,0.024895,correlated_normal,0.95011,0.95,3.0,boundary,0.04989
1.0,0.01618,0.5590169943749475,0.03712,-0.25,central_normal_interval,0.03712,correlated_normal,0.9467,0.95,3.1,effect_present,0.01618
1.0,0.002265,0.5590169943749475,0.142895,-0.25,central_normal_interval,0.142895,correlated_normal,0.85484,0.95,3.5,effect_present,0.002265
1.0,7.5e-05,0.5590169943749475,0.4327,-0.25,central_normal_interval,0.4327,correlated_normal,0.567225,0.95,4.0,effect_present,7.5e-05
