n,residual,elapsed_s,l2_error,minimum_conductivity,maximum_conductivity,pathway,sample,level
40,4.467453136872199e-14,0.0025554000021656975,,0.9412400982055779,1.2559321670571924,0,20,5
48,6.756148967368048e-14,0.0035265000005892944,,0.9397639834745191,1.2559991060451285,0,20,6
64,1.2109354021911288e-13,0.006066300000384217,,0.9379497256225238,1.256065608684301,0,20,7
8,1.2671415842894742e-15,0.00046099999963189475,,0.5164111429683189,1.0176612894864745,0,21,0
12,2.7772223967990034e-15,0.000491300001158379,,0.5086963665629645,1.0322930196894486,0,21,1
16,4.833122661875868e-15,0.0006743000012647826,,0.5060011002969154,1.0371945648346947,0,21,2
24,1.152876984386067e-14,0.001152200002252357,,0.50407756483491,1.0404263690499862,0,21,3
32,2.083780022042368e-14,0.0018584999997983687,,0.5034046614052914,1.0414078574339272,0,21,4
40,3.2620458153792817e-14,0.0027315999977872707,,0.5030932626652719,1.0417927016284672,0,21,5
48,4.943410032127766e-14,0.0036104999999224674,,0.5029241236374861,1.0420847957686166,0,21,6
64,8.617733550104079e-14,0.006215700002940139,,0.5027559567183577,1.0428717032301436,0,21,7
8,1.4038533086086518e-15,0.0005232000003161374,,0.8128580337542873,0.9598548831663635,0,22,0
12,2.91774048407265e-15,0.0004898000006505754,,0.8139372797700632,0.983760774971279,0,22,1
16,5.8242745885191695e-15,0.0006179999982123263,,0.8122059524154794,0.9950153994749427,0,22,2
24,1.461896484564753e-14,0.0011377000009815674,,0.8120891162152022,1.0055873149712888,0,22,3
32,2.5318798490064175e-14,0.0017942999984370545,,0.8116955124035704,1.0105668509440366,0,22,4
40,4.2780411335701365e-14,0.002637599998706719,,0.811787261659433,1.0134451143181127,0,22,5
48,5.838444139606832e-14,0.0034662999969441444,,0.8118015968783325,1.0153157591837565,0,22,6
64,1.0673501262681746e-13,0.006403499999578344,,0.811701735124019,1.0175976904057233,0,22,7
8,1.734501417159208e-15,0.0004932000010740012,,1.0319632917111878,1.4154689455785323,0,23,0
12,3.4103610569593493e-15,0.0004907000002276618,,0.9942715601107922,1.424262063893843,0,23,1
16,7.294371745844916e-15,0.0006162999998196028,,0.9781047491713919,1.425352573073755,0,23,2
24,1.5863603137397513e-14,0.0011223000001336914,,0.9638821720943211,1.424017476095813,0,23,3
32,3.0389483760445027e-14,0.0018043999989458825,,0.9575308810583308,1.4248027690684923,0,23,4
40,4.1376909188274924e-14,0.002824800001690164,,0.953969645832686,1.4249802977585566,0,23,5
48,6.180048820055136e-14,0.003477900001598755,,0.9517008130985356,1.425352573073755,0,23,6
64,1.1825340602660449e-13,0.006420900001103291,,0.9489843421802928,1.4254122475471611,0,23,7
8,1.6693196328246702e-15,0.0004851000012422446,,0.964292310622226,1.752683334146243,0,24,0
12,4.325172127163835e-15,0.0005036000002291985,,0.9459300114768681,1.7806476071092052,0,24,1
16,8.256175780692744e-15,0.0006367999994836282,,0.9327090010059249,1.790654464422153,0,24,2
24,2.0314897293280747e-14,0.0011647999999695458,,0.9187035569720575,1.7978731832601487,0,24,3
32,3.4467143520133987e-14,0.0018727999995462596,,0.9115672111820063,1.8004138198334556,0,24,4
40,5.564285043362271e-14,0.0025711999987834133,,0.9072820176904806,1.801592255222875,0,24,5
48,7.682961898137709e-14,0.0035095999992336147,,0.9044332070878147,1.8022330528860693,0,24,6
64,1.3884403012935745e-13,0.006314599999313941,,0.9008892075413011,1.802870670746493,0,24,7
8,1.1351826838837436e-15,0.0004797999972652178,,0.6792306193740164,1.0869551998603424,0,25,0
12,2.9860579467241417e-15,0.0005046999976912048,,0.6701363931556379,1.1034562943249453,0,25,1
16,4.61459399778084e-15,0.0006170000015117694,,0.6669322320305774,1.1153999243307073,0,25,2
24,1.23268247494494e-14,0.001177300000563264,,0.6646369810562017,1.129112167820848,0,25,3
32,2.171983913589547e-14,0.0018022000003838912,,0.6638323645586233,1.135908440614779,0,25,4
40,3.639380050229261e-14,0.002564499998698011,,0.6634597189384867,1.1398977389876346,0,25,5
48,4.844820198190961e-14,0.0035165000008419156,,0.6632572351158094,1.1425089052325421,0,25,6
64,8.860369995316454e-14,0.006447499999922002,,0.6630558606131504,1.1457162684591888,0,25,7
8,1.4473541379047481e-15,0.0005344000019249506,,0.6950653840252199,0.9457536692537004,0,26,0
12,3.491433714870468e-15,0.0006709000008413568,,0.6937345130614235,0.9752727216290393,0,26,1
16,5.496869823795273e-15,0.0006852999977127183,,0.6925727822655166,0.988684359015104,0,26,2
24,1.4624847400939104e-14,0.0013566000015998725,,0.692814819272699,1.0009225084823494,0,26,3
32,2.4803490706703802e-14,0.0018177000019932166,,0.6931364517833496,1.0065390632710387,0,26,4
40,3.947220911439731e-14,0.0026242999992973637,,0.692684692694667,1.0097342966999532,0,26,5
48,5.61733524494913e-14,0.003509199999825796,,0.6925727822655166,1.0117885500499209,0,26,6
